Faixa Etária;Valor
0-4;1,869565217
5-9;1,934782609
10-14;2
15-19;2,065217391
20-29;2,152173913
25-29;2,195652174
30-34;2,326086957
35-39;2,369565217
40-44;2,456521739
45-49;2,369565217
50-54;2,347826087
55-59;2,413043478
60-64;2,52173913
65-69;2,282608696
70-74;2,065217391
75-79;1,739130435
80-84;1,195652174
85-89;0,695652174
90+;0,543478261
0-4;2,143911439
05-09;2,221402214
10-14;2,324723247
15-19;2,350553506
20-24;2,42804428
25-29;2,557195572
30-34;2,686346863
35-39;2,815498155
40-44;2,841328413
45-49;2,867158672
50-54;2,815498155
55-59;2,970479705
60-64;3,177121771
65-69;3,04797048
70-74;2,89298893
75-79;2,608856089
80-84;2,014760148
85-89;1,36900369
90+;1,394833948
